Category;Technology;Available;Brand;Model;isOnlineOrder;isSoldByInstalments;Color;Price;Country;Size;Serial
32;ЖК;true;Acer;AT3201W;false;true;brawn;34176;Таджикистан;very small;cn
32;ЖК;true;Acer;AT3202;true;true;brawn;27992;Аргентина;very small;zstuuqb
32;ЖК;true;Acer;AT3203W;true;false;purple;24619;Йемен;very big;oyqgewc
32;ЖК;false;Acer;AT3205-DTV;false;true;orange;27151;Перу;very big;ppww
32;ЖК;true;Acer;AT3245-DTV;false;false;black;18024;Папуа - Новая Гвинея;medium;ee
32;ЖК;true;Acer;AT3246-DTV;true;false;orange;40544;Израиль;very small;pfnkxx
32;ЖК;false;Acer;AT3258ML;true;false;green;45639;Доминика;big;urufetuk
32;ЖК;true;AD NOTAM;CO 320-6M;false;false;green;42700;Мальтийский орден;very big;tjrajdhk
32;ЖК;false;AD NOTAM;DFU-0320-000;false;true;pink;41102;Украина;very big;ezfvfgr
55;ЖК;true;AD NOTAM;DFU-0550-000;true;true;purple;51377;Венгрия;small;xtnmuvf
32;ЖК;true;AD NOTAM;FPD-0320-001;false;true;purple;15500;Марокко;big;wameont
24;ЖК;false;AEG;CTV 2204 LED/DVD/DVB-T;false;false;yellow;12711;Барбадос;big;hh
24;ЖК;false;AEG;CTV 2402 LED/DVB-T;false;true;brawn;41341;Панама;very big;x
24;ЖК;true;AEG;CTV 2403 LED/DVD/DVB-T;true;true;red;38768;Папуа - Новая Гвинея;medium;lo
24;ЖК;false;AEG;CTV 2404 LED/DVB-T;true;true;blue;52516;Оман;big;ez
32;ЖК;true;AGATH;S232M;true;true;blue;48368;Сомалиленд;medium;rla
32;ЖК;false;AGATH;S332M;true;false;yellow;49493;Барбадос;very big;exxhrlvl
32;ЖК;true;AGATH;T232M;false;true;purple;22400;Гамбия;small;ddz
32;ЖК;false;AGATH;T232N;true;false;white;15795;Голанские высоты;big;hhihmmh
32;ЖК;false;AGATH;T332M;true;true;purple;19540;Сомалиленд;small;lf
32;ЖК;false;AGATH;T332N;true;false;white;10893;Боливия;small;oei
24;ЖК;false;Agfaphoto;LC23610;true;true;brawn;33498;Гватемала;big;opa
32;ЭЛТ;false;AHB;BIG SWING;true;false;blue;22234;Республика Косово;small;xqhxgmsr
32;ЭЛТ;false;AHB;EVOLUTION;true;true;green;52752;Филиппины;very big;sr
32;ЭЛТ;true;AHB;Flatliner;true;true;yellow;40312;Сен-Мартен;big;hqyw
32;ЭЛТ;false;AHB;FUN;false;true;red;40110;Кувейт;big;sp
32;ЭЛТ;false;AHB;IMPRESSION;true;true;pink;40096;Бенин;medium;ndpbuj
24;ЖК;false;AIWA;24LE7010;false;false;green;23606;Кипр;small;hbxl
24;ЖК;false;AIWA;24LE7011;false;true;black;27605;Бурунди;small;y
24;ЖК;false;AIWA;24LE7021;false;false;red;23885;Бермудские острова;very small;ihluzsy
